cv	f1	f2	f3
1	280.553153692339	2338.99245625369	3244.75513970609
2	417.877589434951	2214.91754909053	2813.76449228218
3	601.617831187251	1855.92166924115	2577.0829741042
4	822.613626836362	1484.05466172704	2601.66217079116
5	617.278721686751	976.358129184291	2726.34793367507
6	481.945184531306	781.877522967226	2662.71872703861
7	376.857053695854	688.419424849975	2570.10041068348
8	307.838431851506	709.461593983565	2281.54017592023
9	278.341265721523	1872.93407247876	2383.81805661763
10	379.932863662474	1704.52127276372	2312.84929968935
11	517.06756126929	1500.29290815659	2226.24737474479
12	629.262182595772	1303.48365331934	2224.18488455573
13	566.465561824571	792.854146392182	2676.67317535434
14	611.068105262266	1131.04737412803	2617.16049931896
15	442.611129813269	1218.78329326606	2547.02540716695
16	328.986480765897	1293.3769033882	2631.4403490978
17	324.203815049516	1809.28206185591	2425.93387244805
18	294.496519097324	1588.08936997638	2168.79786626583
19	377.594482614744	2031.18724921284	2625.33332367277
20	347.031570047152	1709.912707697	2243.07336881732
21	405.273337543192	926.83132248421	2411.87394473762
22	399.393797100089	1595.08606737637	2501.05905238323
23	413.804269335884	1173.01469897069	2268.35639773796
24	532.231073635254	1271.58985098319	2483.15677573416
25	599.325827038109	1426.42523299864	2607.92962757786
26	524.096739929269	1266.82413243839	2290.83254074658
27	739.792000032552	1670.33266755036	2519.63824281581
28	665.879168945221	1259.7414073035	2588.60840371355
