cv,female_f1,female_f2,female_f3
1,305.429867880795,2738.47616828871,3701.19250180531
2,475.501052585599,2438.27022317078,2963.78439536388
3,690.069904057051,1978.84156126491,2861.94584912943
4,976.874897664168,1540.30404318769,2771.00143898355
5,739.370471311187,1093.34009762019,2932.83838936686
6,589.17310260453,981.726713380607,2823.66371207619
7,397.607173599006,790.923749083249,2798.08157179746
8,320.109317404397,702.773828549049,2476.8433459772
9,365.861082266357,2303.14724579551,2807.45070631982
10,437.71254845852,1928.61311178177,2698.06510202284
11,570.661972984692,1750.00724521579,2729.68552120936
12,658.695749260234,1456.60393887113,2618.27385834506
13,588.563017624218,869.973313197067,2806.30841833388
14,825.882722279487,1262.16881776702,2964.2036159375
15,575.572309954811,1368.286996422,2819.6312945697
16,394.207372696551,1565.29772225226,2634.44272073695
17,378.950394408389,1965.21093660559,2678.98369916752
18,365.003868083159,1792.97411083461,2504.22937299937
19,465.767342927864,2468.51835932974,2978.71773136267
20,462.903248834744,1964.91631621377,2798.8192884399
21,447.13143677085,916.054710253924,2630.00124581292
22,490.886640545214,1499.56193744493,2637.74825201856
23,473.818863245492,1480.64535255986,2558.42779185593
24,627.474775744305,1507.73137691777,2683.67422270604
25,670.834360059709,1449.64636422721,2662.64703663523
26,654.648811715426,1321.65577174986,2754.69832139342
27,973.052940075843,1720.38447924245,2727.65402126894
28,817.034576327998,1381.56917929514,2770.34486239229
